Treatment,Replicate,Dish,TreatedA,colorA,TreatedB,colorB
LL,1,VI,Lr,blue,Lg,orange
LL,2,V,Lr,blue,Lg,yellow
LL,3,II,Lg,green,Lr,purple
LL,4,III,Lr,blue,Lg,green
LL,5,II,Lg,blue,Lr,red
LL,6,II,Lr,green,Lg,purple
LL,7,IV,Lg,blue,Lr,purple
LL,8,III,Lr,purple,Lg,red
LL,9,III,Lr,green,Lg,red
LL,10,III,Lg,orange,Lr,yellow
LL,11,V,Lg,orange,Lr,yellow
LL,12,IV,Lr,blue,Lg,purple
LL,13,II,Lg,green,Lr,red
LL,14,V,Lg,green,Lr,orange
LL,15,II,Lg,green,Lr,purple
LL,16,III,Lg,blue,Lr,yellow
LL,17,IV,Lr,orange,Lg,purple
LL,18,III,Lg,orange,Lr,purple
HL,1,III,Hg,purple,Lr,orange
HL,2,II,Hg,blue,Lr,red
HL,3,IV,Hr,red,Lg,orange
HL,4,VI,Hr,purple,Lg,blue
HL,5,I,Hg,purple,Lr,yellow
HL,6,VI,Hr,yellow,Lg,blue
HL,7,VI,Hg,blue,Lr,green
HL,8,II,Hg,red,Lr,yellow
HL,9,II,Hg,orange,Lr,red
HL,10,V,Hr,purple,Lg,blue
HL,11,III,Hr,orange,Lg,red
HL,12,V,Hr,blue,Lg,yellow
HL,13,VI,Hr,red,Lg,blue
HL,14,VI,Hr,green,Lg,blue
HL,15,VI,Hg,yellow,Lr,purple
HL,16,V,Hg,orange,Lr,green
HL,17,II,Hr,blue,Lg,green
HL,18,V,Hg,orange,Lr,yellow
HH,1,I,Hg,green,Hr,purple
HH,2,VI,Hg,orange,Hr,purple
HH,3,III,Hr,blue,Hg,yellow
HH,4,II,Hr,orange,Hg,yellow
HH,5,III,Hr,blue,Hg,green
HH,6,III,Hr,blue,Hg,yellow
HH,7,III,Hr,green,Hg,yellow
HH,8,V,Hg,orange,Hr,red
HH,9,IV,Hr,purple,Hg,yellow
HH,10,VI,Hr,blue,Hg,green
HH,11,VI,Hr,blue,Hg,orange
HH,12,III,Hr,blue,Hg,green
HH,13,V,Hr,orange,Hg,red
HH,14,I,Hg,blue,Hr,yellow
HH,15,V,Hg,purple,Hr,yellow
HH,16,IV,Hr,orange,Hg,red
HH,17,V,Hg,orange,Hr,purple
HH,18,II,Hr,orange,Hg,purple
HT,1,II,Hr,yellow,Tt,red
HT,2,I,Hg,blue,Tt,orange
HT,3,VI,Hr,red,Tt,green
HT,4,I,Hg,orange,Tt,yellow
HT,5,IV,Hr,red,Tt,green
HT,6,V,Hr,orange,Tt,green
HT,7,II,Hr,yellow,Tt,purple
HT,8,IV,Hg,orange,Tt,red
HT,9,V,Hg,purple,Tt,orange
HT,10,IV,Hg,yellow,Tt,green
HT,11,IV,Hr,yellow,Tt,blue
HT,12,I,Hr,red,Tt,purple
HT,13,III,Hg,yellow,Tt,red
HT,14,II,Hg,yellow,Tt,purple
HT,15,IV,Hg,yellow,Tt,red
HT,16,VI,Hr,green,Tt,blue
HT,17,I,Hr,purple,Tt,green
HT,18,I,Hg,purple,Tt,red
LT,1,IV,Lg,red,Tt,yellow
LT,2,IV,Lr,green,Tt,blue
LT,3,I,Lg,orange,Tt,yellow
LT,4,IV,Lg,yellow,Tt,blue
LT,5,VI,Lr,blue,Tt,purple
LT,6,IV,Lr,red,Tt,green
LT,7,I,Lr,orange,Tt,blue
LT,8,VI,Lr,green,Tt,orange
LT,9,I,Lg,purple,Tt,yellow
LT,10,I,Lg,red,Tt,blue
LT,11,I,Lr,orange,Tt,yellow
LT,12,VI,Lr,blue,Tt,purple
LT,13,I,Lg,orange,Tt,blue
LT,14,IV,Lg,red,Tt,purple
LT,15,I,Lg,red,Tt,yellow
LT,16,II,Lg,yellow,Tt,blue
LT,17,III,Lg,purple,Tt,red
LT,18,VI,Lg,yellow,Tt,orange
TT,1,V,Tt,purple,Tt,yellow
TT,2,III,Tt,purple,Tt,yellow
TT,3,V,Tt,blue,Tt,orange
TT,4,V,Tt,green,Tt,purple
TT,5,V,Tt,blue,Tt,green
TT,6,I,Tt,green,Tt,red
TT,7,V,Tt,green,Tt,purple
TT,8,I,Tt,purple,Tt,yellow
TT,9,VI,Tt,blue,Tt,green
TT,10,II,Tt,orange,Tt,purple
TT,11,II,Tt,blue,Tt,yellow
TT,12,II,Tt,green,Tt,purple
TT,13,IV,Tt,orange,Tt,purple
TT,14,III,Tt,red,Tt,yellow
TT,15,III,Tt,blue,Tt,orange
TT,16,I,Tt,red,Tt,yellow
TT,17,VI,Tt,purple,Tt,red
TT,18,IV,Tt,blue,Tt,purple
